trigger_tag,trigger_canonical,related_tag,related_canonical,slot,support,trigger_lines,related_lines,total_lines,confidence,reverse_confidence,lift,pmi,score,safety_bin,safety_class,related_group,related_subgroup,related_source,expected_support,negative_score
topless,topless,completely nude,completely_nude,other,96,8834,57225,200039,0.010867,0.001678,0.037988,-4.718325,0.003847,nsfw,nudity_nsfw,NSFW,R18词,weilin_tagcart.csv,2527.135459,2338.782275
ass visible through thighs,ass_visible_through_thighs,penis,penis,body_detail,83,5917,84272,200039,0.014027,0.000985,0.033297,-4.908455,0.003277,suggestive,suggestive,NSFW,R18词,weilin_tagcart.csv,2492.701043,2329.464712
penis,penis,ass visible through thighs,ass_visible_through_thighs,camera,83,84272,5917,200039,0.000985,0.014027,0.033297,-4.908455,0.003277,nsfw,explicit_nsfw,镜头,人物构图,danbooru_all.csv,2492.701043,2329.464712
cleft of venus,cleft_of_venus,sex,sex,pose_action,11,6392,73101,200039,0.001721,0.00015,0.004709,-7.730302,0.000311,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2335.852469,2313.90427
sex,sex,cleft of venus,cleft_of_venus,other,11,73101,6392,200039,0.00015,0.001721,0.004709,-7.730302,0.000311,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,2335.852469,2313.90427
sex,sex,full body,full_body,camera,566,73101,9116,200039,0.007743,0.062089,0.169904,-2.557209,0.02345,nsfw,explicit_nsfw,镜头,人物构图,danbooru_all.csv,3331.293978,2295.459612
after vaginal,after_vaginal,sex,sex,pose_action,697,9682,73101,200039,0.071989,0.009535,0.196997,-2.343756,0.040409,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,3538.129475,2281.436208
sex,sex,after vaginal,after_vaginal,other,697,73101,9682,200039,0.009535,0.071989,0.196997,-2.343756,0.028066,nsfw,explicit_nsfw,NSFW,R18词,weilin_tagcart.csv,3538.129475,2281.436208
nude,nude,open shirt,open_shirt,clothing,2345,101769,11917,200039,0.023042,0.196778,0.38679,-1.370378,0.065213,nsfw,nudity_nsfw,服饰,上半身服装,danbooru_all.csv,6062.723634,2279.745846
thighhighs,thighhighs,barefoot,barefoot,pose_action,366,38675,15267,200039,0.009463,0.023973,0.123997,-3.011621,0.015966,suggestive,suggestive,表情动作,腿部动作,weilin_tagcart.csv,2951.680547,2265.063507
girl on top,girl_on_top,on back,on_back,pose_action,1074,22995,35800,200039,0.046706,0.03,0.260977,-1.938004,0.039604,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,4115.302516,2247.591995
clothes lift,clothes_lift,collarbone,collarbone,body_detail,2625,20920,61282,200039,0.125478,0.042835,0.40959,-1.287748,0.175809,nsfw,nudity_nsfw,人物,肩部,danbooru_all.csv,6408.847475,2234.021291
completely nude,completely_nude,black skirt,black_skirt,clothing,39,57225,8034,200039,0.000682,0.004854,0.016969,-5.880937,0.001434,nsfw,nudity_nsfw,服饰,裙子,danbooru_all.csv,2298.280085,2220.941885
doggystyle,doggystyle,on back,on_back,pose_action,73,13200,35800,200039,0.00553,0.002039,0.030902,-5.016176,0.002965,nsfw,explicit_nsfw,表情动作,基础动作,weilin_tagcart.csv,2362.339344,2218.595159
covered nipples,covered_nipples,nude,nude,other,722,6885,101769,200039,0.104866,0.007094,0.206126,-2.278403,0.061918,nsfw,nudity_nsfw,NSFW,R18词,weilin_tagcart.csv,3502.714796,2207.537646
nude,nude,covered nipples,covered_nipples,body_detail,722,101769,6885,200039,0.007094,0.104866,0.206126,-2.278403,0.029522,nsfw,nudity_nsfw,NSFW,R18词,weilin_tagcart.csv,3502.714796,2207.537646
straddling,straddling,bed sheet,bed_sheet,scene,281,23061,23749,200039,0.012185,0.011832,0.102635,-3.284399,0.012644,suggestive,suggestive,场景,床上用品,weilin_tagcart.csv,2737.844565,2204.685136
completely nude,completely_nude,open jacket,open_jacket,clothing,50,57225,8044,200039,0.000874,0.006216,0.021728,-5.524277,0.001932,nsfw,nudity_nsfw,服饰,外套,weilin_tagcart.csv,2301.140778,2202.227195
fellatio,fellatio,spread legs,spread_legs,pose_action,1139,13810,60233,200039,0.082476,0.01891,0.273911,-1.868218,0.069136,nsfw,explicit_nsfw,表情动作,腿部动作,weilin_tagcart.csv,4158.277786,2192.262955
spread legs,spread_legs,fellatio,fellatio,pose_action,1139,60233,13810,200039,0.01891,0.082476,0.273911,-1.868218,0.041913,suggestive,suggestive,表情动作,性爱动作,danbooru_all.csv,4158.277786,2192.262955
fellatio,fellatio,stomach,stomach,body_detail,261,13810,38586,200039,0.018899,0.006764,0.097979,-3.351388,0.011919,nsfw,explicit_nsfw,人物,腹部,danbooru_all.csv,2663.84385,2167.416295
nude,nude,lifted by self,lifted_by_self,pose_action,111,101769,4684,200039,0.001091,0.023698,0.046581,-4.424126,0.004851,nsfw,nudity_nsfw,表情动作,手部动作,weilin_tagcart.csv,2382.965302,2166.135751
vaginal,vaginal,full body,full_body,camera,330,61149,9116,200039,0.005397,0.0362,0.118423,-3.077983,0.014989,nsfw,explicit_nsfw,镜头,人物构图,danbooru_all.csv,2786.628028,2165.707517
completely nude,completely_nude,wet clothes,wet_clothes,clothing,24,57225,7701,200039,0.000419,0.003116,0.010894,-6.520304,0.000834,nsfw,nudity_nsfw,服饰,上半身服装,danbooru_all.csv,2203.019036,2155.280496
completely nude,completely_nude,white dress,white_dress,clothing,44,57225,7800,200039,0.000769,0.005641,0.019719,-5.664263,0.001708,nsfw,nudity_nsfw,服饰,裙子,danbooru_all.csv,2231.339889,2144.207529
ass,ass,grabbing,grabbing,pose_action,540,49327,12676,200039,0.010947,0.0426,0.172759,-2.533165,0.023671,suggestive,suggestive,表情动作,手部动作(抓着某物),weilin_tagcart.csv,3125.735742,2139.025778
sex from behind,sex_from_behind,upper body,upper_body,camera,20,28679,15184,200039,0.000697,0.001317,0.009187,-6.766122,0.000679,nsfw,explicit_nsfw,镜头,镜头,weilin_tagcart.csv,2176.885187,2137.068936
